iter,t_ms,y0_angle,y1_position,uLocal,uRemote,uOut,uDiff,loopIntervalMs,tcpRttMs,clamped
251,7556.056,103.760,0.000,121319.570,121318.600,0.000,0.970,30.008,3.958,1
252,7586.163,103.720,0.000,121791.950,121791.000,0.000,0.950,30.081,3.974,1
253,7616.231,103.760,0.000,122264.230,122263.256,0.000,0.974,29.974,4.072,1
254,7646.226,103.940,0.000,122745.080,122744.107,0.000,0.973,29.944,4.138,1
255,7676.281,103.810,0.000,123192.305,123191.364,0.000,0.941,29.976,4.195,1
256,7706.843,103.900,0.000,123673.915,123672.958,0.000,0.957,30.086,4.670,1
257,7736.555,103.940,0.000,124140.505,124139.514,0.000,0.991,29.907,4.451,1
258,7765.714,103.810,0.000,124594.730,124593.742,0.000,0.988,30.000,3.602,1
259,7796.131,103.850,0.000,125071.915,125070.979,0.000,0.936,30.069,3.953,1
260,7826.317,103.900,0.000,125541.665,125540.697,0.000,0.968,29.937,4.204,1
261,7857.095,103.850,0.000,126002.290,126001.322,0.000,0.968,29.997,4.971,1
262,7886.222,103.810,0.000,126468.575,126467.622,0.000,0.953,30.079,4.023,1
263,7917.769,103.980,0.000,126952.765,126951.790,0.000,0.975,31.139,4.409,1
264,7947.747,103.940,0.000,127408.635,127407.643,0.000,0.992,30.607,3.803,1
265,7976.222,103.940,0.000,127878.365,127877.451,0.000,0.914,28.215,4.016,1
266,8008.803,103.940,0.000,128346.095,128345.140,0.000,0.955,29.954,6.620,1
267,8036.412,103.940,0.000,128813.825,128812.883,0.000,0.942,29.996,4.280,1
268,8066.101,103.850,0.000,129273.590,129272.611,0.000,0.979,30.040,3.917,1
269,8096.304,103.850,0.000,129745.415,129744.462,0.000,0.953,30.067,4.064,1
270,8126.474,103.850,0.000,130212.740,130211.800,0.000,0.940,29.995,4.208,1
271,8156.051,103.810,0.000,130676.525,130675.593,0.000,0.932,29.952,3.862,1
272,8186.007,103.940,0.000,131157.175,131156.251,0.000,0.924,29.970,3.855,1
273,8216.170,104.030,0.000,131626.370,131625.403,0.000,0.967,30.122,3.865,1
274,8247.015,103.900,0.000,132078.500,132077.565,0.000,0.935,29.915,4.808,1
275,8276.055,103.940,0.000,132556.090,132555.101,0.000,0.989,29.975,3.915,1
276,8306.083,103.810,0.000,133010.315,133009.364,0.000,0.951,30.046,3.870,1
277,8336.300,103.850,0.000,133487.500,133486.547,0.000,0.953,29.967,4.112,1
278,8366.219,103.900,0.000,133957.250,133956.272,0.000,0.978,29.985,4.081,1
279,8396.972,103.900,0.000,134422.300,134421.376,0.000,0.924,29.994,4.690,1
280,8426.082,103.900,0.000,134889.850,134888.884,0.000,0.966,30.007,3.922,1
281,8456.065,103.900,0.000,135357.400,135356.416,0.000,0.984,30.016,3.953,1
282,8486.305,103.850,0.000,135820.525,135819.561,0.000,0.964,30.006,4.117,1
283,8516.459,103.850,0.000,136290.350,136289.431,0.000,0.919,30.002,4.315,1
284,8546.098,103.850,0.000,136757.675,136756.716,0.000,0.959,30.013,3.943,1
285,8576.031,103.900,0.000,137229.425,137228.470,0.000,0.955,29.984,3.855,1
286,8606.129,103.850,0.000,137690.050,137689.039,0.000,1.011,30.024,3.966,1
287,8636.007,103.900,0.000,138164.300,138163.363,0.000,0.937,29.983,3.805,1
288,8666.850,103.900,0.000,138629.350,138628.392,0.000,0.958,30.019,4.674,1
289,8696.091,103.810,0.000,139088.935,139087.995,0.000,0.940,30.003,3.901,1
290,8726.280,103.850,0.000,139564.120,139563.197,0.000,0.923,29.982,4.104,1
291,8756.322,103.900,0.000,140033.870,140032.907,0.000,0.963,29.998,4.136,1
292,8786.158,103.940,0.000,140502.460,140501.429,0.000,1.031,30.011,4.002,1
293,8817.081,103.900,0.000,140964.650,140963.706,0.000,0.944,30.016,4.894,1
294,8846.452,103.900,0.000,141434.200,141433.248,0.000,0.952,30.009,4.221,1
295,8877.156,103.900,0.000,141901.750,141900.791,0.000,0.959,30.005,4.973,1
296,8906.331,103.810,0.000,142361.335,142360.351,0.000,0.984,29.999,4.088,1
297,8938.265,103.850,0.000,142836.520,142835.568,0.000,0.952,29.992,6.053,1
298,8966.513,103.850,0.000,143301.845,143300.902,0.000,0.943,30.005,4.194,1
299,8996.511,103.760,0.000,143761.205,143760.219,0.000,0.986,29.988,4.012,1
300,9026.539,103.940,0.000,144248.555,144247.621,0.000,0.934,30.005,3.989,1
301,9056.352,103.900,0.000,144703.745,144702.764,0.000,0.981,30.048,3.992,1
302,9086.024,103.900,0.000,145173.295,145172.364,0.000,0.931,29.933,3.847,1
303,9116.362,103.900,0.000,145640.845,145639.882,0.000,0.963,30.044,4.116,1
304,9146.082,103.940,0.000,146111.935,146110.984,0.000,0.951,29.954,3.904,1
305,9176.116,103.850,0.000,146569.700,146568.728,0.000,0.972,30.002,3.897,1
306,9206.278,103.810,0.000,147037.985,147037.019,0.000,0.966,29.996,3.965,1
307,9236.228,103.980,0.000,147522.175,147521.192,0.000,0.983,30.000,3.935,1
308,9266.631,103.850,0.000,147970.080,147969.114,0.000,0.966,30.011,4.401,1
309,9296.216,103.900,0.000,148448.330,148447.388,0.000,0.942,30.007,4.006,1
310,9327.192,103.850,0.000,148908.955,148907.981,0.000,0.974,30.009,4.631,1
311,9356.150,103.940,0.000,149386.745,149385.817,0.000,0.928,29.988,3.989,1
312,9386.470,103.810,0.000,149838.470,149837.537,0.000,0.933,30.012,4.154,1
313,9416.316,103.900,0.000,150320.080,150319.113,0.000,0.967,29.998,4.068,1
314,9446.436,103.900,0.000,150783.130,150782.224,0.000,0.906,30.001,4.175,1
315,9476.320,103.760,0.000,151238.290,151237.359,0.000,0.931,30.002,4.061,1
316,9506.051,103.900,0.000,151724.600,151723.637,0.000,0.963,30.005,3.813,1
317,9536.075,103.900,0.000,152185.150,152184.179,0.000,0.971,30.007,3.838,1
318,9566.472,103.850,0.000,152648.275,152647.373,0.000,0.902,30.021,4.222,1
319,9597.162,103.850,0.000,153118.100,153117.140,0.000,0.960,29.972,4.904,1
